Designator,Mid X,Mid Y,Rotation,Layer
J1,8.318639,-17.149148,90.0,top
J2,8.323639,-4.449148,90.0,top
J3,8.318639,-36.002568,90.0,top
J4,8.318639,-23.297568,90.0,top
J5,1.93,-13.0,0.0,top
J6,23.0,-46.7625,180.0,top
J7,17.9,-46.7625,180.0,top
MIC,13.695,-42.95,270.0,top
